inicio_del_viaje,num_trips
2023-01-01,3600
2023-01-02,9482
2023-01-03,11153
2023-01-04,11896
2023-01-05,11978
2023-01-06,11938
2023-01-07,8247
2023-01-08,7584
2023-01-09,12927
2023-01-10,13658
2023-01-11,13540
2023-01-12,13186
2023-01-13,12974
2023-01-14,9207
2023-01-15,8187
2023-01-16,13811
2023-01-17,14669
2023-01-18,14324
2023-01-19,14209
2023-01-20,13662
2023-01-21,9556
2023-01-22,8089
2023-01-23,13831
2023-01-24,14480
2023-01-25,14520
2023-01-26,14454
2023-01-27,13803
2023-01-28,9261
2023-01-29,7497
2023-01-30,14221
2023-01-31,14907
2023-02-01,14683
2023-02-02,14783
2023-02-03,14189
2023-02-04,9043
2023-02-05,7480
2023-02-06,7424
2023-02-07,14519
2023-02-08,14924
2023-02-09,14631
2023-02-10,14240
2023-02-11,9787
2023-02-12,8235
2023-02-13,14266
2023-02-14,14746
2023-02-15,14749
2023-02-16,14708
2023-02-17,14331
2023-02-18,10131
2023-02-19,8339
2023-02-20,14237
2023-02-21,14826
2023-02-22,14906
2023-02-23,14474
2023-02-24,13108
2023-02-25,9361
2023-02-26,8538
2023-02-27,14492
2023-02-28,15111
2023-03-01,15204
2023-03-02,15018
2023-03-03,14201
2023-03-04,9860
2023-03-05,8283
2023-03-06,14627
2023-03-07,15193
2023-03-08,14901
2023-03-09,14488
2023-03-10,14281
2023-03-11,10069
2023-03-12,8336
2023-03-13,14530
2023-03-14,15394
2023-03-15,15143
2023-03-16,15505
2023-03-17,13896
2023-03-18,9137
2023-03-19,7467
2023-03-20,7570
2023-03-21,14673
2023-03-22,15018
2023-03-23,14347
2023-03-24,14024
2023-03-25,9511
2023-03-26,8125
2023-03-27,14133
2023-03-28,14624
2023-03-29,15012
2023-03-30,14815
2023-03-31,14005
2023-04-01,9227
2023-04-02,7504
2023-04-03,11441
2023-04-04,11950
2023-04-05,11193
2023-04-06,8058
2023-04-07,6245
2023-04-08,6173
2023-04-09,7534
2023-04-10,11649
2023-04-11,12201
2023-04-12,12116
2023-04-13,12283
2023-04-14,11989
2023-04-15,8752
2023-04-16,7883
2023-04-17,14338
2023-04-18,14893
2023-04-19,14828
2023-04-20,14718
2023-04-21,13772
2023-04-22,9566
2023-04-23,7899
2023-04-24,13849
2023-04-25,13912
2023-04-26,14524
2023-04-27,14136
2023-04-28,13507
2023-04-29,8926
2023-04-30,7337
2023-05-01,6610
2023-05-02,14429
2023-05-03,14489
2023-05-04,14395
2023-05-05,12166
2023-05-06,8948
2023-05-07,7663
2023-05-08,13526
2023-05-09,14192
2023-05-10,12544
2023-05-11,13561
2023-05-12,13331
2023-05-13,9021
2023-05-14,7519
2023-05-15,12247
2023-05-16,13397
2023-05-17,13985
2023-05-18,13348
2023-05-19,12835
2023-05-20,8869
2023-05-21,7627
